number,movies,cast,directors
435,Jaws,Lee Armstrong,Jack Clayton
436,We Are the Best!,Mark Rylance,Charles Ferguson
437,Spartacus,Tom Glynn-Carney,Florian Zeller
438,Small Axe: Education,Tom Hardy,Debra Granik
439,About Endlessness,Abbey Lincoln,Krzysztof Kieslowski
440,Back to the Future,B.B. King,Nick Park
441,If Beale Street Could Talk,David Ruffin,Peter Lord
442,My Journey Through French Cinema,Jesse Jackson,Tom Hooper
443,Wallace & Gromit: The Curse of the Were-Rabbit,Mahalia Jackson,David Mackenzie
444,The Diary of a Teenage Girl,Max Roach,Bob Peterson
445,Elena,Moms Mabley,Pete Docter
446,All Is Lost,Nina Simone,Sandi Tan
447,Hereditary,Sal Masekela,Michael Curtiz
448,Listen to Me Marlon,Stevie Wonder,Bill Ross IV
449,Gideon's Army,Andy Devine,Turner Ross
450,Serpico (re-release),Edmond O'Brien,Sydney Pollack
451,Maria Full of Grace,James Stewart,Bahman Ghobadi
452,Fateless,Jeanette Nolan,Robert Mulligan
453,Happy as Lazzaro,John Carradine,Kleber Mendonça Filho
454,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,John Qualen,Xiaoshuai Wang
455,Uncle Boonmee Who Can Recall His Past Lives,John Wayne,Todd Douglas Miller
456,Brokeback Mountain,Ken Murray,Charlie Kaufman
457,Cemetery of Splendor,Lee Marvin,Duke Johnson
458,The Kid with a Bike,Vera Miles,Ash Brannon
459,Mutiny on the Bounty,Albert Brooks,John Lasseter
460,Spider-Man: Into the Spider-Verse,Cybill Shepherd,Lee Unkrich
461,The Wicker Man,Diahnne Abbott,Ryan Coogler
462,Love & Friendship,Frank Adu,John Crowley
463,Particle Fever,Garth Avery,Hirokazu Koreeda
464,Tarnation,Gino Ardito,Mike Leigh
465,Microcosmos,Jodie Foster,John Cassavetes
466,Murderball,Peter Boyle,Robert Stevenson
467,Life Itself,Robert De Niro,Peter Jackson
468,The Shape of Water,Victor Argo,Jean-Pierre Dardenne
469,Rewind,Bruce Willis,Luc Dardenne
470,Shine,John Travolta,Warwick Thornton
471,Bisbee '17,Samuel L. Jackson,Susan Lacy
472,Grizzly Man,Frank Sinatra,Kim A. Snyder
473,Adam's Rib,Laurence Harvey,Chang-dong Lee
474,Gregory Crewdson: Brief Encounters,Amy Dawson,Adam Schlesinger
475,Moneyball,Dorothy Atkinson,Linda Saffire
476,The Autobiography of Nicolae Ceausescu,Karl Johnson,Alejandro González Iñárritu
477,All About My Mother,Lesley Manville,Gillian Armstrong
478,The English Patient,Marion Bailey,John Madden
479,The Duke of Burgundy,Paul Jesson,Leo McCarey
480,My Golden Days,Ruth Sheen,Marielle Heller
481,Nebraska,Sandy Foster,Ross Stewart
482,What the Constitution Means to Me,Timothy Spall,Tomm Moore
483,A Tale of Two Cities,Al Pacino,Frank Capra
484,Force Majeure,Aleksa Palladino,Elle-Máijá Tailfeathers
485,Tampopo,Anna Paquin,Kathleen Hepburn
486,Blow Out,Bobby Cannavale,Rithy Panh
487,Diane,Dascha Polanco,Karim Ainouz
488,The Magician,Harvey Keitel,Marcelo Gomes
489,The Thin Man,Jack Huston,James Whale
490,Russian Ark,Jake Hoffman,Howard Hawks
491,Point Blank,Jesse Plemons,Richard Rosson
492,Lincoln,Joe Pesci,Laurent Bécue-Renard
493,The Wolf House,Kathrine Narducci,Robert Altman
